id,CENSUS TRACT,Neighborhood,population,city,nature_score,,,,,
48,26081000100,North Park,"2,523","Grand Rapids, MI",4,,,,,
14,26081000200,Creston,"2,206","Grand Rapids, MI",5,,,,,
12,26081000300,Creston,"5,233","Grand Rapids, MI",5,,,,,
13,26081000400,Creston,"3,071","Grand Rapids, MI",4,,,,,
11,26081000500,Creston,"4,073","Grand Rapids, MI",4,,,,"	
260810122013",14
70,26081000600,Westside Connection,"4,357","Grand Rapids, MI",5,,,,26081000100,11
66,26081000700,West Grand,"3,067","Grand Rapids, MI",4,,,,,
65,26081000800,West Grand,"2,717","Grand Rapids, MI",1,,,,,
10,26081000900,Creston,"3,313","Grand Rapids, MI",2,,,,,
9,26081001000,Creston,"4,724","Grand Rapids, MI",5,,,,,
47,26081001101,North East Citizens Action,"5,962","Grand Rapids, MI",4,,,,,
46,26081001102,North East Citizens Action,"4,369","Grand Rapids, MI",5,,,,,
38,26081001200,Highland Park,"3,264","Grand Rapids, MI",4,,,,,
4,26081001300,Belknap Lookout,3149,"Grand Rapids, MI",3,,,,,
3,26081001400,Belknap Lookout,2303,"Grand Rapids, MI",2,,,,,
64,26081001500,West Grand,"3,608","Grand Rapids, MI",1,,,,,
63,26081001600,West Grand,"6,175","Grand Rapids, MI",3,,,,,
69,26081001700,Westside Connection,"4,604","Grand Rapids, MI",5,,,,,
68,26081001800,Westside Connection,"6,205","Grand Rapids, MI",5,,,,,
58,26081001900,SWAN,"5,323","Grand Rapids, MI",2,,,,,
15,26081002000,Downtown,"2,250","Grand Rapids, MI",1,,,,,
37,26081002100,Heritage Hill,"3,184","Grand Rapids, MI",2,,,,,
44,26081002200,Midtown,"4,682","Grand Rapids, MI",3,,,,,
43,26081002300,Michigan Oaks,"4,157","Grand Rapids, MI",4,,,,,
20,26081002400,Eastown,"3,046","Grand Rapids, MI",3,,,,,
16,26081002500,East Hills,"4,702","Grand Rapids, MI",3,,,,,
5,26081002600,Black Hills,3871,"Grand Rapids, MI",2,,,,,
36,26081002700,Grand Rapids,"3,480","Grand Rapids, MI",5,,,,,
57,26081002800,SECA,"1,632","Grand Rapids, MI",1,,,,,
61,26081002900,South Hills,"1,377","Grand Rapids, MI",3,,,,,
42,26081003000,Madison Area,"1,908","Grand Rapids, MI",3,,,,,
41,26081003100,Madison Area,"4,003","Grand Rapids, MI",3,,,,,
60,26081003200,South East End,"5,392","Grand Rapids, MI",4,,,,,
59,26081003300,South East End,"4,040","Grand Rapids, MI",4,,,,,
19,26081003400,Eastgate,"5,053","Grand Rapids, MI",4,,,,,
52,26081003500,Oakdale,"5,306","Grand Rapids, MI",3,,,,,
56,26081003600,SECA,"2,554","Grand Rapids, MI",1,,,,,
22,26081003700,Garfield Park,"4,506","Grand Rapids, MI",3,,,,,
8,26081003800,Burton Heights,5249,"Grand Rapids, MI",1,,,,,
55,26081003900,Roosevelt Park,"3,540","Grand Rapids, MI",2,,,,,
7,26081004000,Burton Heights,4048,"Grand Rapids, MI",3,,,,,
21,26081004100,Garfield Park,"5,577","Grand Rapids, MI",4,,,,,
1,26081004200,Alger Heights,4334,"Grand Rapids, MI",4,,,,,
39,26081004300,Indian Village,"3,946","Grand Rapids, MI",5,,,,,
54,26081004400,Ridgemoor,"7,606","Grand Rapids, MI",3,,,,,
45,26081004500,Millbrook,"8,371","Grand Rapids, MI",4,,,,,
67,26081004600,West Millbrook,"5,693","Grand Rapids, MI",3,,,,,
51,26081011200,Northview,"4,236","Grand Rapids, MI",5,,,,,
50,26081011301,Northview,"4,732","Grand Rapids, MI",4,,,,,
49,26081011302,Northview,"6,426","Grand Rapids, MI",5,,,,,
35,26081011401,Grand Rapids,"2,338","Grand Rapids, MI",5,,,,,
34,26081011403,Grand Rapids,"2,852","Grand Rapids, MI",5,,,,,
2,26081011500,Alpine Center,7366,"Grand Rapids, MI",4,,,,,
33,26081011600,Grand Rapids,"7,590","Grand Rapids, MI",4,,,,,
62,26081011701,Standale,"5,341","Grand Rapids, MI",5,,,,,
32,26081011702,Grand Rapids,"4,519","Grand Rapids, MI",5,,,,,
31,26081011801,Grand Rapids,"7,640","Grand Rapids, MI",5,,,,,
30,26081011803,Grand Rapids,"4,893","Grand Rapids, MI",5,,,,,
29,26081012201,Grand Rapids,"6,729","Grand Rapids, MI",5,,,,,
28,26081012203,Grand Rapids,"5,441","Grand Rapids, MI",5,,,,,
6,26081012500,Breton Center,4943,"Grand Rapids, MI",4,,,,,
18,26081012605,East Paris,"3,149","Grand Rapids, MI",5,,,,,
17,26081012606,East Paris,"5,700","Grand Rapids, MI",4,,,,,
27,26081012607,Grand Rapids,"5,577","Grand Rapids, MI",4,,,,,
26,26081013600,Grand Rapids,"2,464","Grand Rapids, MI",2,,,,,
23,26081014100,Godwin Heights,"1,931","Grand Rapids, MI",1,,,,,
25,26081014200,Grand Rapids,"3,614","Grand Rapids, MI",2,,,,,
40,26081014300,Kelloggsville,"3,312","Grand Rapids, MI",2,,,,,
24,26081014701,Grand Rapids,"4,505","Grand Rapids, MI",3,,,,,
53,26081014704,Pine Rest,"3,066","Grand Rapids, MI",4,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
